glottocode,Language,Form,phrules?,concatenative?,multiple_exponence?,Not interruptable?,adjacent?,fixed_position?,first_slot?,Kin,Human,Anim,Inan
bori1243,Adi,kidar,0,1,0,1,1,1,1,TRUE,TRUE,TRUE,TRUE
apat1240,Apatani,atan,0,0,0,1,1,1,1,TRUE,TRUE,TRUE,TRUE
athp1241,Athpare,-ci,0,1,0,1,1,1,1,TRUE,TRUE,TRUE,TRUE
aton1241,Atong,=daraŋ,0,1,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE
bant1281,Bantawa,-ci,0,1,0,1,1,1,1,TRUE,TRUE,TRUE,FALSE
bawm1236,Bawm Chin,tlâ,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE
bisu1244,Bisu,zʏŋ33,0,0,0,1,1,1,0,TRUE,TRUE,TRUE,TRUE
raut1239,Boto Boli,-la,1,1,0,1,1,1,1,TRUE,TRUE,TRUE,TRUE
gahr1239,Bunan,=ɕi,0,1,1,1,1,1,1,TRUE,TRUE,TRUE,FALSE
gahr1239,Bunan,=tsʰi,0,1,1,1,1,1,1,TRUE,TRUE,TRUE,FALSE
nucl1310,Burmese,-twei,1,1,0,1,1,1,1,FALSE,FALSE,TRUE,TRUE
nucl1310,Burmese,-tó,1,1,0,1,1,1,1,TRUE,TRUE,FALSE,FALSE
byan1241,Byangsi,-maŋ,0,1,0,1,1,1,1,FALSE,FALSE,TRUE,TRUE
byan1241,Byangsi,-maŋ,0,1,0,1,1,1,1,TRUE,TRUE,FALSE,FALSE
cant1236,Cantonese,-ə̀r,1,1,0,1,1,1,1,TRUE,TRUE,TRUE,TRUE
chan1313,Chang Naga,-ong,0,1,0,1,0,1,0,TRUE,TRUE,TRUE,FALSE
chan1313,Chang Naga,shoung,0,1,0,1,1,1,1,TRUE,TRUE,TRUE,FALSE
chot1239,Chothe,-ɳəy,0,1,0,1,0,1,0,TRUE,TRUE,TRUE,TRUE
chot1239,Chothe,-yam,0,1,0,1,1,1,1,TRUE,TRUE,TRUE,TRUE
clas1254,Classical Tibetan,-dag,0,1,0,1,1,0,1,TRUE,TRUE,TRUE,TRUE
clas1254,Classical Tibetan,-tsho,0,1,0,1,1,0,1,TRUE,TRUE,TRUE,TRUE
clas1254,Classical Tibetan,-tsag,0,1,0,1,1,0,1,TRUE,TRUE,TRUE,TRUE
